Genotype	Population	LA	Selected	Group
Mo17/PHW30_010	Mo17/PHW30	71.947	No	
Mo17/PHW30_011	Mo17/PHW30	66.597	No	
Mo17/PHW30_012	Mo17/PHW30	64.631	No	
Mo17/PHW30_013	Mo17/PHW30	77.191	Yes	Upright
Mo17/PHW30_014	Mo17/PHW30	68.672	No	
Mo17/PHW30_015	Mo17/PHW30	70.901	No	
Mo17/PHW30_016	Mo17/PHW30	76.999	Yes	Upright
Mo17/PHW30_017	Mo17/PHW30	67.95	No	
Mo17/PHW30_018	Mo17/PHW30	75.421	No	
Mo17/PHW30_019	Mo17/PHW30	65.611	No	
Mo17/PHW30_020	Mo17/PHW30	64.421	No	
Mo17/PHW30_021	Mo17/PHW30	78.866	Yes	Upright
Mo17/PHW30_022	Mo17/PHW30	73.58	No	
Mo17/PHW30_023	Mo17/PHW30	66.963	No	
Mo17/PHW30_024	Mo17/PHW30	70.553	No	
Mo17/PHW30_025	Mo17/PHW30	65.103	No	
Mo17/PHW30_026	Mo17/PHW30	67.484	No	
Mo17/PHW30_027	Mo17/PHW30	65.16	No	
Mo17/PHW30_028	Mo17/PHW30	66.685	No	
Mo17/PHW30_029	Mo17/PHW30	73.024	No	
Mo17/PHW30_030	Mo17/PHW30	73.437	No	
Mo17/PHW30_031	Mo17/PHW30	72.804	No	
Mo17/PHW30_032	Mo17/PHW30	71.569	No	
Mo17/PHW30_033	Mo17/PHW30	69.084	No	
Mo17/PHW30_034	Mo17/PHW30	60.705	Yes	Flat
Mo17/PHW30_035	Mo17/PHW30	65.992	No	
Mo17/PHW30_036	Mo17/PHW30	71.863	No	
Mo17/PHW30_037	Mo17/PHW30	75.567	No	
Mo17/PHW30_038	Mo17/PHW30	71.613	No	
Mo17/PHW30_039	Mo17/PHW30	63.007	No	
Mo17/PHW30_040	Mo17/PHW30	66.401	No	
Mo17/PHW30_041	Mo17/PHW30	74.351	No	
Mo17/PHW30_042	Mo17/PHW30	71.924	No	
Mo17/PHW30_043	Mo17/PHW30	70.946	No	
Mo17/PHW30_044	Mo17/PHW30	60.025	Yes	Flat
Mo17/PHW30_045	Mo17/PHW30	75.08	No	
Mo17/PHW30_046	Mo17/PHW30	65.368	No	
Mo17/PHW30_047	Mo17/PHW30	69.246	No	
Mo17/PHW30_048	Mo17/PHW30	68.314	No	
Mo17/PHW30_049	Mo17/PHW30	72.15	No	
Mo17/PHW30_050	Mo17/PHW30	72.465	No	
Mo17/PHW30_051	Mo17/PHW30	72.844	No	
Mo17/PHW30_052	Mo17/PHW30	71.788	No	
Mo17/PHW30_053	Mo17/PHW30	66.337	No	
Mo17/PHW30_054	Mo17/PHW30	65.863	No	
Mo17/PHW30_055	Mo17/PHW30	68.137	No	
Mo17/PHW30_056	Mo17/PHW30	60.49	No	
Mo17/PHW30_057	Mo17/PHW30	73.762	No	
Mo17/PHW30_058	Mo17/PHW30	74.245	No	
Mo17/PHW30_059	Mo17/PHW30	74.488	No	
Mo17/PHW30_060	Mo17/PHW30	72.2	No	
Mo17/PHW30_061	Mo17/PHW30	71.083	No	
Mo17/PHW30_062	Mo17/PHW30	70.506	No	
Mo17/PHW30_063	Mo17/PHW30	65.417	No	
Mo17/PHW30_064	Mo17/PHW30	65.281	No	
Mo17/PHW30_065	Mo17/PHW30	68.121	No	
Mo17/PHW30_066	Mo17/PHW30	66.691	No	
Mo17/PHW30_067	Mo17/PHW30	72.612	No	
Mo17/PHW30_068	Mo17/PHW30	66.055	No	
Mo17/PHW30_069	Mo17/PHW30	65.478	No	
Mo17/PHW30_070	Mo17/PHW30	61.793	Yes	Flat
Mo17/PHW30_071	Mo17/PHW30	67.936	No	
Mo17/PHW30_072	Mo17/PHW30	69.124	No	
Mo17/PHW30_073	Mo17/PHW30	73.517	No	
Mo17/PHW30_074	Mo17/PHW30	70.842	No	
Mo17/PHW30_075	Mo17/PHW30	58.719	Yes	Flat
Mo17/PHW30_076	Mo17/PHW30	78.9	No	
Mo17/PHW30_077	Mo17/PHW30	67.675	No	
Mo17/PHW30_078	Mo17/PHW30	63.63	No	
Mo17/PHW30_079	Mo17/PHW30	72.622	No	
Mo17/PHW30_080	Mo17/PHW30	79.096	Yes	Upright
Mo17/PHW30_081	Mo17/PHW30	78.049	Yes	Upright
Mo17/PHW30_082	Mo17/PHW30	68.708	No	
Mo17/PHW30_083	Mo17/PHW30	77.523	No	
Mo17/PHW30_084	Mo17/PHW30	57.6	Yes	Flat
Mo17/PHW30_085	Mo17/PHW30	78.36	No	
Mo17/PHW30_086	Mo17/PHW30	79.564	Yes	Upright
Mo17/PHW30_087	Mo17/PHW30	65.267	No	
Mo17/PHW30_088	Mo17/PHW30	67.1	No	
Mo17/PHW30_089	Mo17/PHW30	77.972	Yes	Upright
Mo17/PHW30_090	Mo17/PHW30	67.714	No	
Mo17/PHW30_091	Mo17/PHW30	70.078	Yes	Average
Mo17/PHW30_092	Mo17/PHW30	63.155	No	
Mo17/PHW30_093	Mo17/PHW30	65.625	No	
Mo17/PHW30_094	Mo17/PHW30	60.629	Yes	Flat
Mo17/PHW30_095	Mo17/PHW30	75.814	No	
Mo17/PHW30_096	Mo17/PHW30	73.248	No	
Mo17/PHW30_097	Mo17/PHW30	73.814	No	
Mo17/PHW30_098	Mo17/PHW30	72.336	No	
Mo17/PHW30_099	Mo17/PHW30	72.249	No	
Mo17/PHW30_100	Mo17/PHW30	72.171	No	
Mo17/PHW30_101	Mo17/PHW30	74.169	No	
Mo17/PHW30_102	Mo17/PHW30	65.126	No	
Mo17/PHW30_103	Mo17/PHW30	64.202	No	
Mo17/PHW30_104	Mo17/PHW30	78.462	No	
Mo17/PHW30_105	Mo17/PHW30	69.844	No	
Mo17/PHW30_106	Mo17/PHW30	72.809	No	
Mo17/PHW30_107	Mo17/PHW30	77.22	Yes	Upright
Mo17/PHW30_108	Mo17/PHW30	67.942	No	
Mo17/PHW30_109	Mo17/PHW30	60.043	Yes	Flat
Mo17/PHW30_110	Mo17/PHW30	71.694	No	
Mo17/PHW30_111	Mo17/PHW30	75.109	No	
Mo17/PHW30_112	Mo17/PHW30	63.183	No	
Mo17/PHW30_113	Mo17/PHW30	65.986	No	
Mo17/PHW30_114	Mo17/PHW30	67.488	No	
Mo17/PHW30_115	Mo17/PHW30	65.414	No	
Mo17/PHW30_116	Mo17/PHW30	68.134	No	
Mo17/PHW30_117	Mo17/PHW30	68.399	No	
Mo17/PHW30_118	Mo17/PHW30	64.167	No	
Mo17/PHW30_119	Mo17/PHW30	69.564	No	
Mo17/PHW30_120	Mo17/PHW30	77.136	Yes	Upright
Mo17/PHW30_121	Mo17/PHW30	68.539	Yes	Average
Mo17/PHW30_122	Mo17/PHW30	65.873	No	
Mo17/PHW30_123	Mo17/PHW30	72.907	No	
Mo17/PHW30_124	Mo17/PHW30	66.694	No	
Mo17/PHW30_125	Mo17/PHW30	58.727	No	
Mo17/PHW30_126	Mo17/PHW30	69.327	Yes	Average
Mo17/PHW30_127	Mo17/PHW30	74.665	No	
Mo17/PHW30_128	Mo17/PHW30	65.033	No	
Mo17/PHW30_129	Mo17/PHW30	72.945	No	
Mo17/PHW30_130	Mo17/PHW30	44.787	No	
Mo17/PHW30_131	Mo17/PHW30	70.379	No	
Mo17/PHW30_132	Mo17/PHW30	63.635	No	
Mo17/PHW30_133	Mo17/PHW30	76.1	Yes	Upright
Mo17/PHW30_134	Mo17/PHW30	74.401	No	
Mo17/PHW30_135	Mo17/PHW30	65.736	No	
Mo17/PHW30_136	Mo17/PHW30	70.924	No	
Mo17/PHW30_137	Mo17/PHW30	75.877	No	
Mo17/PHW30_138	Mo17/PHW30	66.52	No	
Mo17/PHW30_139	Mo17/PHW30	73.361	No	
Mo17/PHW30_140	Mo17/PHW30	66.581	No	
Mo17/PHW30_141	Mo17/PHW30	64.502	No	
Mo17/PHW30_142	Mo17/PHW30	73.829	No	
Mo17/PHW30_143	Mo17/PHW30	70.388	No	
Mo17/PHW30_144	Mo17/PHW30	72.042	No	
Mo17/PHW30_145	Mo17/PHW30	66.789	No	
Mo17/PHW30_146	Mo17/PHW30	70.921	No	
Mo17/PHW30_147	Mo17/PHW30	72.912	No	
Mo17/PHW30_148	Mo17/PHW30	77.456	Yes	Upright
Mo17/PHW30_149	Mo17/PHW30	75.166	No	
Mo17/PHW30_150	Mo17/PHW30	72.104	No	
Mo17/PHW30_151	Mo17/PHW30	70.764	No	
Mo17/PHW30_152	Mo17/PHW30	62.918	No	
Mo17/PHW30_153	Mo17/PHW30	77.552	Yes	Upright
Mo17/PHW30_154	Mo17/PHW30	70.584	No	
Mo17/PHW30_155	Mo17/PHW30	67.183	No	
Mo17/PHW30_156	Mo17/PHW30	76.258	No	
Mo17/PHW30_157	Mo17/PHW30	61.327	Yes	Flat
Mo17/PHW30_158	Mo17/PHW30	68.455	No	
Mo17/PHW30_159	Mo17/PHW30	62.651	No	
Mo17/PHW30_160	Mo17/PHW30	60.182	Yes	Flat
Mo17/PHW30_161	Mo17/PHW30	67.483	No	
Mo17/PHW30_162	Mo17/PHW30	58.61	No	
Mo17/PHW30_163	Mo17/PHW30	59.069	Yes	Flat
Mo17/PHW30_164	Mo17/PHW30	70.924	No	
Mo17/PHW30_165	Mo17/PHW30	77.13	No	
Mo17/PHW30_166	Mo17/PHW30	62.899	No	
Mo17/PHW30_167	Mo17/PHW30	71.368	No	
Mo17/PHW30_168	Mo17/PHW30	62.879	No	
Mo17/PHW30_169	Mo17/PHW30	70.931	No	
Mo17/PHW30_170	Mo17/PHW30	66.271	No	
Mo17/PHW30_171	Mo17/PHW30	70.325	No	
Mo17/PHW30_172	Mo17/PHW30	77.671	No	
Mo17/PHW30_173	Mo17/PHW30	76.433	No	
Mo17/PHW30_174	Mo17/PHW30	73.711	No	
Mo17/PHW30_175	Mo17/PHW30	68.097	No	
Mo17/PHW30_176	Mo17/PHW30	71.978	No	
Mo17/PHW30_177	Mo17/PHW30	76.512	No	
Mo17/PHW30_178	Mo17/PHW30	77.203	No	
Mo17/PHW30_179	Mo17/PHW30	64.119	No	
Mo17/PHW30_180	Mo17/PHW30	71.014	No	
Mo17/PHW30_181	Mo17/PHW30	70.41	No	
Mo17/PHW30_182	Mo17/PHW30	64.839	No	
Mo17/PHW30_183	Mo17/PHW30	69.823	No	
Mo17/PHW30_184	Mo17/PHW30	69.645	Yes	Average
Mo17/PHW30_185	Mo17/PHW30	63.804	No	
Mo17/PHW30_186	Mo17/PHW30	62.4	No	
Mo17/PHW30_187	Mo17/PHW30	66.112	No	
Mo17/PHW30_188	Mo17/PHW30	62.595	No	
Mo17/PHW30_189	Mo17/PHW30	76.7	No	
Mo17/PHW30_190	Mo17/PHW30	74.9	No	
Mo17/PHW30_191	Mo17/PHW30	63.781	No	
Mo17/PHW30_192	Mo17/PHW30	80.555	No	
Mo17/PHW30_193	Mo17/PHW30	64.944	No	
Mo17/PHW30_194	Mo17/PHW30	67.99	No	
Mo17/PHW30_195	Mo17/PHW30	72.489	No	
Mo17/PHW30_196	Mo17/PHW30	75.559	No	
Mo17/PHW30_197	Mo17/PHW30	66.7	No	
Mo17/PHW30_198	Mo17/PHW30	70.239	No	
Mo17/PHW30_199	Mo17/PHW30	67.134	No	
Mo17/PHW30_200	Mo17/PHW30	70.084	Yes	Average
Mo17/PHW30_201	Mo17/PHW30	63.113	No	
Mo17/PHW30_202	Mo17/PHW30	62.49	No	
Mo17/PHW30_203	Mo17/PHW30	56.137	Yes	Flat
Mo17/PHW30_204	Mo17/PHW30	66.586	No	
Mo17/PHW30_205	Mo17/PHW30	69.239	No	
Mo17/PHW30_206	Mo17/PHW30	66.621	No	
Mo17/PHW30_207	Mo17/PHW30	58.027	No	
Mo17/PHW30_208	Mo17/PHW30	67.349	No	
Mo17/PHW30_209	Mo17/PHW30	71.619	No	
Mo17/PHW30_210	Mo17/PHW30	74.524	No	
Mo17/PHW30_211	Mo17/PHW30	64.783	No	
Mo17/PHW30_212	Mo17/PHW30	72.512	No	
Mo17/PHW30_213	Mo17/PHW30	60.172	No	
Mo17/PHW30_214	Mo17/PHW30	72.34	No	
Mo17/PHW30_215	Mo17/PHW30	64.732	No	
Mo17/PHW30_216	Mo17/PHW30	65.254	No	
Mo17/PHW30_217	Mo17/PHW30	68.457	Yes	Average
Mo17/PHW30_218	Mo17/PHW30	61.458	No	
Mo17/PHW30_219	Mo17/PHW30	70.199	No	
Mo17/PHW30_220	Mo17/PHW30	75.788	No	
Mo17/PHW30_221	Mo17/PHW30	55.891	No	
Mo17/PHW30_222	Mo17/PHW30	71.465	No	
Mo17/PHW30_223	Mo17/PHW30	69.638	No	
Mo17/PHW30_224	Mo17/PHW30	61.241	No	
Mo17/PHW30_225	Mo17/PHW30	73.188	No	
Mo17/PHW30_226	Mo17/PHW30	71.913	No	
Mo17/PHW30_227	Mo17/PHW30	67.625	No	
Mo17/PHW30_228	Mo17/PHW30	69.86	No	
Mo17/PHW30_229	Mo17/PHW30	67.109	No	
Mo17/PHW30_230	Mo17/PHW30	70.82	No	
Mo17/PHW30_231	Mo17/PHW30	53.78	Yes	Flat
Mo17/PHW30_232	Mo17/PHW30	65.052	No	
Mo17/PHW30_233	Mo17/PHW30	70.361	No	
Mo17/PHW30_234	Mo17/PHW30	69.46	No	
Mo17/PHW30_235	Mo17/PHW30	52.989	Yes	Flat
Mo17/PHW30_236	Mo17/PHW30	69.923	No	
Mo17/PHW30_237	Mo17/PHW30	63.071	No	
Mo17/PHW30_238	Mo17/PHW30	67.498	No	
Mo17/PHW30_239	Mo17/PHW30	66.491	No	
Mo17/PHW30_240	Mo17/PHW30	61.04	No	
Mo17/PHW30_241	Mo17/PHW30	62.503	No	
Mo17/PHW30_242	Mo17/PHW30	72.959	No	
Mo17/PHW30_243	Mo17/PHW30	66.799	No	
Mo17/PHW30_244	Mo17/PHW30	67.761	No	
Mo17/PHW30_245	Mo17/PHW30	64.075	No	
Mo17/PHW30_246	Mo17/PHW30	68.937	Yes	Average
Mo17/PHW30_247	Mo17/PHW30	76.16	No	
Mo17/PHW30_248	Mo17/PHW30	77.571	Yes	Upright
Mo17/PHW30_249	Mo17/PHW30	67.694	No	
Mo17/PHW30_250	Mo17/PHW30	65.747	No	
Mo17/PHW30_251	Mo17/PHW30	67.357	No	
Mo17/PHW30_252	Mo17/PHW30	73.585	No	
Mo17/PHW30_253	Mo17/PHW30	70.441	No	
Mo17/PHW30_254	Mo17/PHW30	77.551	Yes	Upright
Mo17/PHW30_255	Mo17/PHW30	72.767	No	
Mo17/PHW30_256	Mo17/PHW30	64.261	No	
Mo17/PHW30_257	Mo17/PHW30	76.157	No	
Mo17/PHW30_258	Mo17/PHW30	74.417	No	
Mo17/PHW30_259	Mo17/PHW30	56.613	Yes	Flat
Mo17/PHW30_260	Mo17/PHW30	71.337	No	
Mo17/PHW30_261	Mo17/PHW30	75.662	No	
Mo17/PHW30_262	Mo17/PHW30	79.151	Yes	Upright
Mo17/PHW30_263	Mo17/PHW30	73.06	No	
Mo17/PHW30_264	Mo17/PHW30	63.768	No	
Mo17/PHW30_265	Mo17/PHW30	65.596	No	
Mo17/PHW30_266	Mo17/PHW30	70.149	No	
Mo17/PHW30_267	Mo17/PHW30	64.762	No	
Mo17/PHW30_268	Mo17/PHW30	71.175	No	
Mo17/PHW30_269	Mo17/PHW30	75.475	No	
Mo17/PHW30_270	Mo17/PHW30	73.291	No	
Mo17/PHW30_271	Mo17/PHW30	65.432	No	
Mo17/PHW30_272	Mo17/PHW30	77.011	No	
Mo17/PHW30_273	Mo17/PHW30	72.8	No	
Mo17/PHW30_274	Mo17/PHW30	66.546	No	
Mo17/PHW30_275	Mo17/PHW30	69.043	Yes	Average
Mo17/PHW30_276	Mo17/PHW30	62.855	No	
Mo17/PHW30_277	Mo17/PHW30	59.337	Yes	Flat
Mo17/PHW30_278	Mo17/PHW30	48.956	No	
Mo17/PHW30_279	Mo17/PHW30	60.157	Yes	Flat
Mo17/PHW30_280	Mo17/PHW30	71.66	No	
Mo17/PHW30_281	Mo17/PHW30	81.538	Yes	Upright
Mo17/PHW30_282	Mo17/PHW30	67.05	No	
Mo17/PHW30_283	Mo17/PHW30	73.029	No	
Mo17/PHW30_284	Mo17/PHW30	60.531	No	
Mo17/PHW30_285	Mo17/PHW30	64.843	No	
Mo17/PHW30_286	Mo17/PHW30	68.552	No	
Mo17/PHW30_287	Mo17/PHW30	73.46	No	
Mo17/PHW30_288	Mo17/PHW30	72.768	No	
Mo17/PHW30_289	Mo17/PHW30	78.954	Yes	Upright
Mo17/PHW30_290	Mo17/PHW30	69.908	No	
Mo17/PHW30_291	Mo17/PHW30	68.123	No	
Mo17/PHW30_292	Mo17/PHW30	60.35	Yes	Flat
Mo17/PHW30_293	Mo17/PHW30	64.451	No	
Mo17/PHW30_294	Mo17/PHW30	72.674	No	
Mo17/PHW30_295	Mo17/PHW30	70.159	No	
Mo17/PHW30_296	Mo17/PHW30	67.783	No	
Mo17/PHW30_297	Mo17/PHW30	66.703	No	
Mo17/PHW30_298	Mo17/PHW30	62.463	No	
Mo17/PHW30_299	Mo17/PHW30	56.759	No	
Mo17/PHW30_300	Mo17/PHW30	64.516	No	
Mo17/PHW30_301	Mo17/PHW30	68.711	No	
Mo17/PHW30_302	Mo17/PHW30	65.806	No	
Mo17/PHW30_303	Mo17/PHW30	65.206	No	
Mo17/PHW30_304	Mo17/PHW30	73.214	No	
Mo17/PHW30_305	Mo17/PHW30	72.308	No	
Mo17/PHW30_306	Mo17/PHW30	72.768	No	
Mo17/PHW30_307	Mo17/PHW30	60.863	No	
Mo17/PHW30_308	Mo17/PHW30	61.807	No	
Mo17/PHW30_309	Mo17/PHW30	79.895	Yes	Upright
Mo17/PHW30_310	Mo17/PHW30	68.797	No	
Mo17/PHW30_311	Mo17/PHW30	65.158	No	
Mo17/PHW30_312	Mo17/PHW30	71.926	No	
Mo17/PHW30_313	Mo17/PHW30	69.218	No	
Mo17/PHW30_314	Mo17/PHW30	59.462	Yes	Flat
Mo17/PHW30_315	Mo17/PHW30	66.972	No	
Mo17/PHW30_316	Mo17/PHW30	73.398	No	
Mo17/PHW30_317	Mo17/PHW30	66.492	No	
Mo17/PHW30_318	Mo17/PHW30	61.138	No	
Mo17/PHW30_319	Mo17/PHW30	75.104	No	
Mo17/PHW30_320	Mo17/PHW30	74.025	No	
Mo17/PHW30_321	Mo17/PHW30	68.812	Yes	Average
Mo17/PHW30_322	Mo17/PHW30	67.887	No	
Mo17/PHW30_323	Mo17/PHW30	68.954	No	
Mo17/PHW30_324	Mo17/PHW30	70.3	Yes	Average
Mo17/PHW30_325	Mo17/PHW30	74.007	No	
Mo17/PHW30_326	Mo17/PHW30	67.602	No	
Mo17/PHW30_327	Mo17/PHW30	67.84	No	
Mo17/PHW30_328	Mo17/PHW30	69.296	No	
Mo17/PHW30_329	Mo17/PHW30	67.704	No	
Mo17/PHW30_330	Mo17/PHW30	69.644	No	
Mo17/PHW30_331	Mo17/PHW30	71.144	No	
Mo17/PHW30_332	Mo17/PHW30	78.836	Yes	Upright
Mo17/PHW30_333	Mo17/PHW30	74.985	No	
Mo17/PHW30_334	Mo17/PHW30	54.926	No	
Mo17/PHW30_335	Mo17/PHW30	66.494	No	
Mo17/PHW30_336	Mo17/PHW30	64.536	No	
Mo17/PHW30_337	Mo17/PHW30	68.38	No	
Mo17/PHW30_338	Mo17/PHW30	72.962	No	
Mo17/PHW30_339	Mo17/PHW30	63.983	No	
Mo17/PHW30_340	Mo17/PHW30	76.041	No	
Mo17/PHW30_341	Mo17/PHW30	79.147	Yes	Upright
Mo17/PHW30_342	Mo17/PHW30	60.234	No	
Mo17/PHW30_343	Mo17/PHW30	73.588	No	
Mo17/PHW30_344	Mo17/PHW30	67.759	No	
Mo17/PHW30_345	Mo17/PHW30	70.657	No	
Mo17/PHW30_346	Mo17/PHW30	70.083	Yes	Average
Mo17/PHW30_347	Mo17/PHW30	65.23	No	
Mo17/PHW30_348	Mo17/PHW30	68.88	No	
Mo17/PHW30_349	Mo17/PHW30	69.726	No	
Mo17/PHW30_350	Mo17/PHW30	74.495	No	
Mo17/PHW30_351	Mo17/PHW30	68.823	No	
Mo17/PHW30_352	Mo17/PHW30	72.879	No	
Mo17/PHW30_353	Mo17/PHW30	68.319	No	
Mo17/PHW30_354	Mo17/PHW30	73.151	No	
Mo17/PHW30_355	Mo17/PHW30	60.992	No	
Mo17/PHW30_356	Mo17/PHW30	66.91	No	
Mo17/PHW30_357	Mo17/PHW30	68.283	No	
Mo17/PHW30_358	Mo17/PHW30	63.277	No	
Mo17/PHW30_359	Mo17/PHW30	77.557	Yes	Upright
Mo17/PHW30_360	Mo17/PHW30	72.571	No	
Mo17/PHW30_361	Mo17/PHW30	71.79	No	
Mo17/PHW30_362	Mo17/PHW30	75.553	No	
Mo17/PHW30_363	Mo17/PHW30	65.907	No	
Mo17/PHW30_364	Mo17/PHW30	68.393	No	
Mo17/PHW30_365	Mo17/PHW30	67.861	No	
Mo17/PHW30_366	Mo17/PHW30	74.756	No	
Mo17/PHW30_367	Mo17/PHW30	68.846	No	
Mo17/PHW30_368	Mo17/PHW30	72.688	No	
Mo17/PHW30_369	Mo17/PHW30	75.168	No	
Mo17/PHW30_370	Mo17/PHW30	70.992	No	
Mo17/PHW30_371	Mo17/PHW30	66.962	No	
Mo17/PHW30_372	Mo17/PHW30	75.687	No	
Mo17/PHW30_373	Mo17/PHW30	73.789	No	
Mo17/PHW30_374	Mo17/PHW30	73.144	No	
Mo17/PHW30_375	Mo17/PHW30	74.353	No	
Mo17/PHW30_376	Mo17/PHW30	71.743	No	
Mo17/PHW30_377	Mo17/PHW30	65.006	No	
Mo17/PHW30_378	Mo17/PHW30	70.862	No	
Mo17/PHW30_379	Mo17/PHW30	72.763	No	
Mo17/PHW30_380	Mo17/PHW30	67.174	No	
Mo17/PHW30_381	Mo17/PHW30	66.193	No	
Mo17/PHW30_382	Mo17/PHW30	72.465	No	
Mo17/PHW30_383	Mo17/PHW30	63.008	No	
Mo17/PHW30_384	Mo17/PHW30	62.227	No	
Mo17/PHW30_385	Mo17/PHW30	76.026	No	
Mo17/PHW30_386	Mo17/PHW30	66.556	No	
Mo17/PHW30_387	Mo17/PHW30	73.283	No	
Mo17/PHW30_388	Mo17/PHW30	62.609	No	
Mo17/PHW30_389	Mo17/PHW30	69.701	Yes	Average
Mo17/PHW30_390	Mo17/PHW30	69.994	No	
Mo17/PHW30_391	Mo17/PHW30	65.487	No	
Mo17/PHW30_392	Mo17/PHW30	75.085	No	
Mo17/PHW30_393	Mo17/PHW30	72.778	No	
Mo17/PHW30_394	Mo17/PHW30	59.397	No	
Mo17/PHW30_395	Mo17/PHW30	63.324	No	
Mo17/PHW30_396	Mo17/PHW30	65.787	No	
Mo17/PHW30_397	Mo17/PHW30	63.993	No	
Mo17/PHW30_398	Mo17/PHW30	63.076	No	
Mo17/PHW30_399	Mo17/PHW30	76.338	No	
Mo17/PHW30_400	Mo17/PHW30	64.988	No	
Mo17/PHW30_401	Mo17/PHW30	79.989	Yes	Upright
Mo17/PHW30_402	Mo17/PHW30	69.294	No	
Mo17/PHW30_403	Mo17/PHW30	72.016	No	
Mo17/PHW30_404	Mo17/PHW30	62.392	No	
Mo17/PHW30_405	Mo17/PHW30	60.108	No	
Mo17/PHW30_406	Mo17/PHW30	65.093	No	
Mo17/PHW30_407	Mo17/PHW30	72.24	No	
Mo17/PHW30_408	Mo17/PHW30	71.979	No	
Mo17/PHW30_409	Mo17/PHW30	56.941	Yes	Flat
Mo17/PHW30_410	Mo17/PHW30	70.224	No	
Mo17/PHW30_411	Mo17/PHW30	68.111	No	
Mo17/PHW30_412	Mo17/PHW30	69.439	No	
Mo17/PHW30_413	Mo17/PHW30	65.923	No	
Mo17/PHW30_414	Mo17/PHW30	78.84	No	
Mo17/PHW30_415	Mo17/PHW30	64.593	No	
Mo17/PHW30_416	Mo17/PHW30	72.831	No	
Mo17/PHW30_417	Mo17/PHW30	65.817	No	
Mo17/PHW30_418	Mo17/PHW30	64.973	No	
Mo17/PHW30_419	Mo17/PHW30	70.404	No	
Mo17/PHW30_420	Mo17/PHW30	66.547	No	
Mo17/PHW30_421	Mo17/PHW30	61.214	No	
Mo17/PHW30_422	Mo17/PHW30	71.957	No	
Mo17/PHW30_423	Mo17/PHW30	67.372	No	
Mo17/PHW30_424	Mo17/PHW30	76.415	No	
Mo17/PHW30_425	Mo17/PHW30	68.527	No	
Mo17/PHW30_426	Mo17/PHW30	72.842	No	
Mo17/PHW30_427	Mo17/PHW30	67.069	No	
Mo17/PHW30_428	Mo17/PHW30	67.699	No	
Mo17/PHW30_429	Mo17/PHW30	68.698	Yes	Average
Mo17/PHW30_430	Mo17/PHW30	56.574	Yes	Flat
Mo17/PHW30_431	Mo17/PHW30	69.994	Yes	Average
Mo17/PHW30_432	Mo17/PHW30	67	No	
Mo17/PHW30_433	Mo17/PHW30	65.166	No	
Mo17/PHW30_434	Mo17/PHW30	65.103	No	
Mo17/PHW30_435	Mo17/PHW30	75.505	No	
Mo17/PHW30_436	Mo17/PHW30	70.188	No	
Mo17/PHW30_437	Mo17/PHW30	71.41	No	
Mo17/PHW30_438	Mo17/PHW30	59.395	Yes	Flat
Mo17/PHW30_439	Mo17/PHW30	68.501	No	
Mo17/PHW30_440	Mo17/PHW30	60.427	Yes	Flat
Mo17/PHW30_441	Mo17/PHW30	73.519	No	
Mo17/PHW30_442	Mo17/PHW30	75.479	No	
Mo17/PHW30_443	Mo17/PHW30	63.306	No	
Mo17/PHW30_444	Mo17/PHW30	70.455	No	
Mo17/PHW30_445	Mo17/PHW30	64.532	No	
Mo17/PHW30_446	Mo17/PHW30	75.258	No	
Mo17/PHW30_447	Mo17/PHW30	75.849	No	
Mo17/PHW30_448	Mo17/PHW30	75.916	No	
Mo17/PHW30_449	Mo17/PHW30	73.13	No	
Mo17/PHW30_450	Mo17/PHW30	65.018	No	
Mo17/PHW30_451	Mo17/PHW30	67.063	No	
Mo17/PHW30_452	Mo17/PHW30	64.948	No	
Mo17/PHW30_453	Mo17/PHW30	67.082	No	
Mo17/PHW30_454	Mo17/PHW30	69.713	Yes	Average
Mo17/PHW30_455	Mo17/PHW30	80.002	Yes	Upright
Mo17/PHW30_456	Mo17/PHW30	69.804	Yes	Average
Mo17/PHW30_457	Mo17/PHW30	67.526	No	
Mo17/PHW30_458	Mo17/PHW30	75.203	No	
Mo17/PHW30_459	Mo17/PHW30	67.341	No	
Mo17/PHW30_460	Mo17/PHW30	72.56	No	
PHW30	Parent	72.536	No	
PHW30	Parent	79.804	No	
PHW30	Parent	73.596	No	
PHW30	Parent	66.555	No	
PHW30	Parent	81.39	No	
PHW30	Parent	73.856	No	
PHW30	Parent	79.962	No	
PHW30	Parent	77.107	No	
PHW30	Parent	81.018	No	
PHW30	Parent	78.777	No	
PHW30	Parent	78.761	No	
PHW30	Parent	76.915	No	
PHW30	Parent	80.405	No	
PHW30	Parent	81.906	No	
PHW30	Parent	78.137	No	
PHW30	Parent	76.491	No	
PHW30	Parent	78.303	No	
PHW30	Parent	72.259	No	
PHW30	Parent	73.963	No	
PHW30	Parent	75.561	No	
PHW30	Parent	74.744	No	
PHW30	Parent	71.223	No	
PHW30	Parent	70.134	No	
PHW30	Parent	70.424	No	
PHW30	Parent	73.063	No	
PHW30	Parent	75.661	No	
PHW30	Parent	76.924	No	
PHW30	Parent	77.618	No	
PHW30	Parent	76.482	No	
PHW30	Parent	79.118	No	
PHW30	Parent	74.144	No	
PHW30	Parent	74.689	No	
PHW30	Parent	81.463	No	
PHW30	Parent	75.067	No	
PHW30	Parent	82.854	No	
PHW30	Parent	81.66	No	
PHW30	Parent	79.421	No	
PHW30	Parent	82.055	No	
