Genotype	Population	LA	Selected	Group
B73/PHW30_090	B73/PHW30	69.804	No	
B73/PHW30_091	B73/PHW30	64.105	No	
B73/PHW30_092	B73/PHW30	58.377	Yes	Flat
B73/PHW30_093	B73/PHW30	71.738	No	
B73/PHW30_094	B73/PHW30	63.293	No	
B73/PHW30_095	B73/PHW30	68.744	No	
B73/PHW30_096	B73/PHW30	67.671	No	
B73/PHW30_097	B73/PHW30	76.483	Yes	Upright
B73/PHW30_098	B73/PHW30	77.968	Yes	Upright
B73/PHW30_099	B73/PHW30	69.548	No	
B73/PHW30_100	B73/PHW30	77.92	Yes	Upright
B73/PHW30_101	B73/PHW30	65.494	No	
B73/PHW30_102	B73/PHW30	77.098	Yes	Upright
B73/PHW30_103	B73/PHW30	65.566	No	
B73/PHW30_104	B73/PHW30	70.83	No	
B73/PHW30_105	B73/PHW30	72.814	No	
B73/PHW30_106	B73/PHW30	73.707	No	
B73/PHW30_107	B73/PHW30	64.651	No	
B73/PHW30_108	B73/PHW30	68.677	Yes	Average
B73/PHW30_109	B73/PHW30	71.635	No	
B73/PHW30_110	B73/PHW30	71.288	No	
B73/PHW30_111	B73/PHW30	64.66	No	
B73/PHW30_112	B73/PHW30	NA	No	
B73/PHW30_113	B73/PHW30	74.867	No	
B73/PHW30_114	B73/PHW30	69.245	No	
B73/PHW30_115	B73/PHW30	66.784	No	
B73/PHW30_116	B73/PHW30	71.743	No	
B73/PHW30_117	B73/PHW30	64.133	No	
B73/PHW30_118	B73/PHW30	65.782	No	
B73/PHW30_119	B73/PHW30	69.526	No	
B73/PHW30_120	B73/PHW30	73.747	No	
B73/PHW30_121	B73/PHW30	75.014	No	
B73/PHW30_122	B73/PHW30	65.753	No	
B73/PHW30_123	B73/PHW30	74.66	No	
B73/PHW30_124	B73/PHW30	72.637	No	
B73/PHW30_125	B73/PHW30	75.519	No	
B73/PHW30_126	B73/PHW30	66.186	No	
B73/PHW30_127	B73/PHW30	67.79	No	
B73/PHW30_128	B73/PHW30	64.882	No	
B73/PHW30_129	B73/PHW30	72.158	No	
B73/PHW30_130	B73/PHW30	66.072	No	
B73/PHW30_131	B73/PHW30	65.796	No	
B73/PHW30_132	B73/PHW30	71.913	No	
B73/PHW30_133	B73/PHW30	68.195	Yes	Average
B73/PHW30_134	B73/PHW30	74.131	No	
B73/PHW30_135	B73/PHW30	66.362	No	
B73/PHW30_136	B73/PHW30	67.315	No	
B73/PHW30_137	B73/PHW30	64.029	No	
B73/PHW30_138	B73/PHW30	60.938	Yes	Flat
B73/PHW30_139	B73/PHW30	73.372	No	
B73/PHW30_140	B73/PHW30	68.478	No	
B73/PHW30_141	B73/PHW30	77.613	Yes	Upright
B73/PHW30_142	B73/PHW30	72.021	No	
